"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","job"
"Product Manager - Online Grocery - Iit/nit/bits/iiit/iim/isb","Product Manager - Online Grocery - Iit/nit/bits/iiit/iim/isb","Premium","Bengaluru","product strategy- product management- c- product life cycle...","2018-03-20",6.0,11.0,0.0,"DS"
"Data Science Manager - R/matlab/data Mining","Data Science Manager - R/matlab/data Mining","Premium","Bengaluru","Data Science- R- Machine Learning- Data Mining- Analytics...","2018-03-19",5.0,10.0,0.0,"DS"
"Immediate Opening for Project Manager with US Based MNC: Hyderabad","Immediate Opening for Project Manager with US Based MNC: Hyderabad","HR Axis India Pvt Ltd.","Hyderabad","Big Data- Business Intelligence- Data Warehousing- Hadoop...","2018-03-16",8.0,13.0,0.0,"DS"
"Data Architect - Marketing Programs","Data Architect - Marketing Programs","Premium","Mumbai","Data Modeling- Sales- Hadoop- Marketing Programs- Data Science...","2018-03-19",5.0,10.0,0.0,"DS"
"Senior Hadoop Application Developer","Senior Hadoop Application Developer","Han Digital Solution (P) Ltd","Bengaluru","spark- hadoop- mapreduce- hbase- hive- pig- flume- scala- data structure...","2018-03-19",4.0,9.0,1800000.0,"DS"
"Walkin on 6th to 13th April for HR Associate@ Kotak Life","Walkin on 6th to 13th April for HR Associate@ Kotak Life","Kotak Life Insurance.","Mumbai","hr- recruitment- sourcing- hiring- Talent Acquisition","2018-04-05",0.0,1.0,125000.0,"HR"
"Hiring HR Executive","Hiring HR Executive","Panoramic Universal Limited","Gurgaon","Recruitment- HR- Joining Formalities- Induction Program- Selection...","2018-04-05",1.0,3.0,0.0,"HR"
"Hiring for Asst Manager- HR- United 21 -The Grand- Pune","Hiring for Asst Manager- HR- United 21 -The Grand- Pune","Panoramic Universal Limited","Pune","HR Generalist Activities- Recruitment- Human Resource Management- HRD...","2018-04-05",3.0,7.0,0.0,"HR"
"HR Recruiter","HR Recruiter","NTex Transportation Services Private Limited","Pune","recruitment- hr- talent acquisition- sourcing- relationship management","2018-04-05",1.0,2.0,100000.0,"HR"
"Hiring for International Voice/blended/non Process Meet Hr Ashiya","Hiring for International Voice/blended/non Process Meet Hr Ashiya","Confidential","Mumbai- Mumbai Suburbs- Navi Mumbai- Thane","international voice process- inbound calls- blended process...","2018-04-05",0.0,5.0,0.0,"HR"
