link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Tele-Marketing-Executive-Confidential-Mumbai-Thane-0-to-3-years-220917005955?src=jobsearchDesk&sid=15229205417100&xp=13&px=25,Tele Marketing Executive,Tele Marketing Executive,Confidential,Mumbai- Thane,0-3 yrs,Marketing- Telesales- Telemarketing- Outbound Calling- Lead Generation, ,Not disclosed,2018-03-29,0,3,0,0
https://www.naukri.com/job-listings-Tele-Marketing-Executive-Tele-Caller-Confidential-Meerut-0-to-1-years-220218002505?src=jobsearchDesk&sid=15229205417100&xp=14&px=25,Tele Marketing Executive / Tele Caller,Tele Marketing Executive / Tele Caller,Confidential,Meerut,0-1 yrs,outbound- inbound- Tele Caller- Tele Marketing Executive- tele calling..., ,Not disclosed,2018-03-29,0,1,0,0
https://www.naukri.com/job-listings-Sr-Digital-Marketing-Seo-smo-FINGAIN-CONSULTANTS-PRIVATE-LIMITED-Gurgaon-1-to-4-years-220118006125?src=jobsearchDesk&sid=15229205417100&xp=15&px=25,Sr. Digital Marketing Seo/smo,Sr. Digital Marketing Seo/smo,FINGAIN CONSULTANTS PRIVATE LIMITED,Gurgaon,1-4 yrs,SEO- SMM- SEM- Digital Marketing- SMO- PPC- Keyword Research..., ,175000 - 300000 P.A.,2018-03-30,1,4,175000,300000
https://www.naukri.com/job-listings-Walkin-for-Direct-Marketing-Bangalore-Bajaj-Allianz-General-Insurance-Company-Ltd-Bengaluru-1-to-3-years-210318002820?src=jobsearchDesk&sid=15229205417100&xp=16&px=25,Walkin for Direct Marketing- Bangalore,Walkin for Direct Marketing- Bangalore,Bajaj Allianz General Insurance Company Ltd.,Bengaluru,1-3 yrs,field sales- direct marketing- sales process- policy issuance- retail..., ,Not disclosed,2018-04-02,1,3,0,0
https://www.naukri.com/job-listings-Online-Marketing-part-Time-home-Based-copy-Paste-earn-upto-9000k-week-WHIZZ-TRIP-Mumbai-Navi-Mumbai-Thane-0-to-4-years-201217007773?src=jobsearchDesk&sid=15229205417100&xp=17&px=25,Online Marketing /part Time/home Based copy Paste earn upto 9000k week,Online Marketing /part Time/home Based copy Paste earn upto 9000k week,WHIZZ TRIP,Mumbai- Navi Mumbai- Thane,0-4 yrs,Online Marketing- Part Time- data entry- bpo- kpo- call center- hr- sales..., ,175000 - 650000 P.A. park in hand,2018-04-03,0,4,175000,650000
https://www.naukri.com/job-listings-Software-Consultant-ERP-Sales-IT-Sales-and-Marketing-Mumbai-Focus-Softnet-Pvt-Ltd-Mumbai-1-to-3-years-201217001437?src=jobsearchDesk&sid=15229205417100&xp=18&px=25,Software Consultant ( ERP Sales  IT Sales and Marketing - Mumbai),Software Consultant ( ERP Sales  IT Sales and Marketing - Mumbai),Focus Softnet Pvt. Ltd.,Mumbai,1-3 yrs,it sales- marketing- crm- demonstration- erp sales- Software Sales, ,Not disclosed,2018-04-02,1,3,0,0
https://www.naukri.com/job-listings-Product-Manager-Hair-Oil-Hair-Care-Trade-Marketing-HQ-Chennai-VVD-Sons-Private-Limited-Chennai-Egmore-5-to-10-years-201117001258?src=jobsearchDesk&sid=15229205417100&xp=19&px=25,Product Manager - Hair Oil & Hair Care Trade Marketing (HQ: Chennai),Product Manager - Hair Oil & Hair Care Trade Marketing (HQ: Chennai),VVD & Sons Private Limited,Chennai(Egmore),5-10 yrs,trade marketing- brand management- brand positioning, ,900000 - 1200000 P.A.,2018-03-30,5,10,900000,1200000
https://www.naukri.com/job-listings-Hiring-Digital-Marketing-Executive-Ajax-Media-Tech-Private-Limited-Chennai-1-to-2-years-191217002934?src=jobsearchDesk&sid=15229205417100&xp=20&px=25,Hiring - Digital Marketing Executive,Hiring - Digital Marketing Executive,Ajax Media Tech Private Limited,Chennai,1-2 yrs,SEO- SEM- SMM- Digital Marketing- PPC- Sales- Marketing Management..., ,450000 - 600000 P.A.,2018-03-29,1,2,450000,600000
https://www.naukri.com/job-listings-Management-Trainee-Marketing-Confidential-Delhi-NCR-Peeragarhi-0-to-1-years-160218006112?src=jobsearchDesk&sid=15229205417100&xp=21&px=25,Management Trainee ( Marketing ),Management Trainee ( Marketing ),Confidential,Delhi NCR(Peeragarhi),0-1 yrs,Marketing Management- Advertising- Sponsorship- Media Relations..., ,Not disclosed,2018-03-30,0,1,0,0
https://www.naukri.com/job-listings-Tele-Marketing-Executive-Tele-Caller-Confidential-Mumbai-0-to-1-years-151217007762?src=jobsearchDesk&sid=15229205417100&xp=22&px=25,Tele Marketing Executive / Tele Caller,Tele Marketing Executive / Tele Caller,Confidential,Mumbai,0-1 yrs,outbound- inbound- Tele Caller- Tele Marketing Executive- tele calling..., ,Not disclosed,2018-03-29,0,1,0,0
https://www.naukri.com/job-listings-Digital-Marketing-Intern-BDreamz-Global-Solutions-Pvt-Ltd-Chennai-0-to-1-years-150318003175?src=jobsearchDesk&sid=15229205417100&xp=23&px=25,Digital Marketing  Intern,Digital Marketing  Intern,BDreamz Global Solutions Pvt Ltd,Chennai,0-1 yrs,Digital Marketing- Competitor Analysis- SEO, ,Not disclosed,2018-03-29,0,1,0,0
https://www.naukri.com/job-listings-General-Manager-Sales-Marketing-South-India-for-VVD-VVD-Sons-Private-Limited-Hyderabad-8-to-12-years-120318001897?src=jobsearchDesk&sid=15229205417100&xp=24&px=25,General Manager - Sales & Marketing - South India for VVD,General Manager - Sales & Marketing - South India for VVD,VVD & Sons Private Limited,Hyderabad,8-12 yrs,Hair Oil- Hair Care,  (Only candidates with adequate exposure to Hair Oil & Hair Care Products need apply): ...,3000000 - 4000000 P.A.,2018-03-30,8,12,3000000,4000000
https://www.naukri.com/job-listings-Digital-Marketing-Executive-Required-with-1-year-of-Experince-BLACK-BOX-GPS-TECHNOLOGY-OPC-PRIVATE-LIMITED-Chandigarh-1-to-3-years-120318001104?src=jobsearchDesk&sid=15229205417100&xp=25&px=25,Digital Marketing Executive Required with 1 year of Experince,Digital Marketing Executive Required with 1 year of Experince,BLACK BOX GPS TECHNOLOGY OPC PRIVATE LIMITED,Chandigarh,1-3 yrs,digital marketing- brand awareness- social media- social entertainment, ,175000 - 250000 P.A.,2018-04-02,1,3,175000,250000
https://www.naukri.com/job-listings-Online-Marketing-Jobs-For-Fresher-working-in-Tourism-Company-JETIKA-TOUR-SERVICES-PVT-LTD-Delhi-NCR-Gurgaon-Ghaziabad-0-to-2-years-100218001805?src=jobsearchDesk&sid=15229205417100&xp=26&px=25,Online Marketing Jobs For Fresher/working in Tourism Company,Online Marketing Jobs For Fresher/working in Tourism Company,JETIKA TOUR SERVICES PVT LTD,Delhi NCR- Gurgaon- Ghaziabad,0-2 yrs,travel- online marketing- business opportunity- mba marketing- Tele Caller-..., ,175000 - 450000 P.A.,2018-03-31,0,2,175000,450000
https://www.naukri.com/job-listings-Tele-Marketing-Executive-Tele-Caller-delhi-moti-Nagar-Confidential-Delhi-NCR-0-to-1-years-100118002595?src=jobsearchDesk&sid=15229205417100&xp=27&px=25,Tele Marketing Executive / Tele Caller(delhi-moti Nagar),Tele Marketing Executive / Tele Caller(delhi-moti Nagar),Confidential,Delhi NCR,0-1 yrs,outbound- inbound- Tele Caller- Tele Marketing Executive- tele calling..., ,Not disclosed,2018-03-29,0,1,0,0
